Province,Violations,Statistics,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Nova Scotia,Total property crime violations [200] ,"Rate per 100,000 population",5400.54,5411.91,4868.71,4711.44,4686.34,5179.68,5407.95,5177.94,5171.51,4604.57,4166.09,4185.17,4335.86,4026.18,3951.59,3474.37,3319.34,2945.49
Nova Scotia,Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",985.13,861.28,755.18,734.84,702.9,692.23,682.44,609.32,658.62,655.01,619.77,617.74,611.02,562.55,520.87,485.87,461.15,392.96
Nova Scotia,Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",761.14,623.74,585.61,608,562.7,601.49,579.66,530.26,560.56,553.57,537.04,544.14,531.69,494.09,457.33,449.32,433.82,368.28
Nova Scotia,Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3122.8,3145.96,2395.07,1966.25,2076.47,1586.75,1707.21,1406.36,1662.49,1720.12,1518.37,1449.08,1536.73,1387.07,1306,951.71,819.98,725.5
Nova Scotia,Total other Criminal Code violations [300] ,Actual incidents,11659,10691,8904,9975,10149,11565,11481,9933,9589,11147,10482,10332,10179,9693,9787,8831,8539,8031
Nova Scotia,Total other Criminal Code violations [300] ,"Rate per 100,000 population",1251.09,1144.83,953.44,1069.76,1085.44,1233.61,1222.19,1059.02,1022.42,1192.1,1120.03,1101.26,1080.49,1026.29,1035.84,936.49,906.1,851.64
Nova Scotia,Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",392.89,316.71,280.91,324.38,349.16,408.56,392.32,352.96,441.43,636.79,637.93,610.02,592.18,599.23,576.68,494.35,474.04,442.96
Nova Scotia,Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",341.01,287.1,256.9,298.57,309.21,376.63,371.68,326.72,393.36,585.08,610.3,586.16,566.34,564.23,538.66,471.72,460.55,438.78
Nova Scotia,Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",888.05,601.51,513.13,574.93,740.64,723.43,598.06,617.56,933.45,1179.79,938.03,879.53,893.77,1020.82,1046.39,782.7,651.26,499.21
New Brunswick,Total violent Criminal Code violations [100]  (16),Actual incidents,11504,13103,12786,12606,12876,12742,12380,11019,10596,10330,11208,11593,11440,11241,11131,9394,8868,8939
New Brunswick,Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",1532.74,1745.64,1703.62,1681.25,1718.33,1700.32,1652.06,1473.21,1421.12,1385.82,1500.69,1545.83,1519.17,1487.83,1470.73,1243.06,1175.23,1185.75
New Brunswick,Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",538.56,664.68,604,607.88,544.24,518.78,500.06,499.24,496.53,524.45,583.28,597.77,610.24,573.73,565.51,504.43,490.86,473.97
New Brunswick,Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",463.49,583.7,531.54,539.45,471.05,464.23,458.8,440.2,452.34,482.82,536.83,551.64,572.93,550.29,543.16,486.19,475.18,460.75
New Brunswick,Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1239.5,1433.39,1303.24,1279.18,1274.21,1069.83,921.78,1106.13,955.95,965.48,1089.83,1117.65,1041.51,853.89,840.09,735.02,694.13,647.47
